date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:34%20GMT	http://web.archive.org/web/20181205151940im_/http://richlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205151940im_/http_/richlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:36	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:35%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2016/12/img7.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2016/12/img7.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:36	241527/241527	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:47:20%20GMT	http://web.archive.org/web/20181227095840im_/http://richlegacy.com/wp-content/uploads/2016/12/Rich-Legacy-Logo.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181227095840im_/http_/richlegacy.com/wp-content/uploads/2016/12/Rich-Legacy-Logo.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:47:36%20GMT	http://web.archive.org/web/20181202132122im_/http://yourrichlegacy.com/wp-content/uploads/2016/12/img7.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181202132122im_/http_/yourrichlegacy.com/wp-content/uploads/2016/12/img7.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:36%20GMT	http://web.archive.org/web/20181202132122im_/http://richlegacy.com/wp-content/uploads/2016/12/img7.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181202132122im_/http_/richlegacy.com/wp-content/uploads/2016/12/img7.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:38%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_10-1.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_10-1.41.delayed	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:47:38%20GMT	http://web.archive.org/web/20181205000848im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_10-1.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205000848im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_10-1.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:38%20GMT	http://web.archive.org/web/20181205000848im_/http://richlegacy.com/wp-content/uploads/2017/01/img-_10-1.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205000848im_/http_/richlegacy.com/wp-content/uploads/2017/01/img-_10-1.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:10	201575/201575	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2011:47:37%20GMT	http://web.archive.org/web/20190102194701im_/http://richlegacy.com/wp-content/uploads/2016/12/img7.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20190102194701im_/http_/richlegacy.com/wp-content/uploads/2016/12/img7.jpg	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:48:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:48:11%20GMT	http://web.archive.org/web/20191020174601im_/http://richlegacy.com/wp-content/uploads/2017/09/kind.jpg	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/richlegacy.com/wp-content/uploads/2017/09/kind.45.delayed	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
